"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"
"中国西电电气股份有限公司"	"T000025764"	"CN101552145B"	"20110119"
"中国西电电气股份有限公司"	"T000025764"	"CN101556841A"	"20091014"
"东北制药集团股份有限公司"	"01000597"	"CN101566575B"	"20110511"
"中国西电电气股份有限公司"	"T000025764"	"CN101572168A"	"20091104"
"中国西电电气股份有限公司"	"T000025764"	"CN101572170A"	"20091104"
"中国西电电气股份有限公司"	"T000025764"	"CN101576583A"	"20091111"
"中国西电电气股份有限公司"	"T000025764"	"CN101576583B"	"20101229"
"东软集团股份有限公司"	"02600718"	"CN101576899A"	"20091111"
"东软集团股份有限公司"	"02600718"	"CN101576899B"	"20110209"
"中国葛洲坝集团股份有限公司"	"02600068"	"CN101581087A"	"20091118"
"中国葛洲坝集团股份有限公司"	"02600068"	"CN101581087B"	"20110119"
"中国西电电气股份有限公司"	"T000025764"	"CN101582569A"	"20091118"
"中国西电电气股份有限公司"	"T000025764"	"CN101582569B"	"20110629"
"东软集团股份有限公司"	"02600718"	"CN101582793A"	"20091118"
"东软集团股份有限公司"	"02600718"	"CN101582793B"	"20110330"
"中国西电电气股份有限公司"	"T000025764"	"CN101586200A"	"20091125"
"中国西电电气股份有限公司"	"T000025764"	"CN101586200B"	"20110504"
"金堆城钼业股份有限公司"	"03134603"	"CN101590529A"	"20091202"
"金堆城钼业股份有限公司"	"03134603"	"CN101590529B"	"20110810"
"沈阳新松医疗科技股份有限公司"	"T000148930"	"CN101592630B"	"20110518"
"中国西电电气股份有限公司"	"T000025764"	"CN101596672A"	"20091209"
"中国西电电气股份有限公司"	"T000025764"	"CN101596672B"	"20110504"
"东软集团股份有限公司"	"02600718"	"CN101599957A"	"20091209"
"东软集团股份有限公司"	"02600718"	"CN101599957B"	"20120530"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101604847A"	"20091216"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101604847B"	"20110525"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101604949A"	"20091216"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101604949B"	"20111005"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101604950A"	"20091216"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101604950B"	"20110525"
"辽宁禾丰牧业股份有限公司"	"T000058625"	"CN101606633A"	"20091223"
"辽宁禾丰牧业股份有限公司"	"T000058625"	"CN101606633B"	"20130102"
"中国西电电气股份有限公司"	"T000025764"	"CN101608106A"	"20091223"
"中国西电电气股份有限公司"	"T000025764"	"CN101608106B"	"20120627"
"东软集团股份有限公司"	"02600718"	"CN101615187A"	"20091230"
"中国西电电气股份有限公司"	"T000025764"	"CN101615208A"	"20091230"
"中国西电电气股份有限公司"	"T000025764"	"CN101615208B"	"20120201"
"辽宁禾丰牧业股份有限公司"	"T000058625"	"CN101618237A"	"20100106"
"辽宁禾丰牧业股份有限公司"	"T000058625"	"CN101618237B"	"20120613"
"西部金属材料股份有限公司"	"03133852"	"CN101625278A"	"20100113"
"西部金属材料股份有限公司"	"03133852"	"CN101629912A"	"20100120"
"东软集团股份有限公司"	"02600718"	"CN101630247A"	"20100120"
"中国西电电气股份有限公司"	"T000025764"	"CN101630571A"	"20100120"
"中国西电电气股份有限公司"	"T000025764"	"CN101630571B"	"20110504"
"中国西电电气股份有限公司"	"T000025764"	"CN101630820A"	"20100120"
"西部金属材料股份有限公司"	"03133852"	"CN101633067A"	"20100127"
"中国西电电气股份有限公司"	"T000025764"	"CN101633827A"	"20100127"
"东软集团股份有限公司"	"02600718"	"CN101635046A"	"20100127"
"东软集团股份有限公司"	"02600718"	"CN101635046B"	"20120627"
"东软集团股份有限公司"	"02600718"	"CN101639845A"	"20100203"
"东软集团股份有限公司"	"02600718"	"CN101639893A"	"20100203"
"东软集团股份有限公司"	"02600718"	"CN101639893B"	"20130313"
"东软集团股份有限公司"	"02600718"	"CN101639904A"	"20100203"
"中兴通讯股份有限公司"	"01000063"	"CN101640522A"	"20100203"
"中兴通讯股份有限公司"	"01000063"	"CN101640522B"	"20151021"
"金堆城钼业股份有限公司"	"03134603"	"CN101642712A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101642731A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101642811A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101642811B"	"20110105"
"金堆城钼业股份有限公司"	"03134603"	"CN101642813A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101642814A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101642814B"	"20110105"
"金堆城钼业股份有限公司"	"03134603"	"CN101642817A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101642817B"	"20120704"
"金堆城钼业股份有限公司"	"03134603"	"CN101643210A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101643244A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101643663A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101643664A"	"20100210"
"金堆城钼业股份有限公司"	"03134603"	"CN101643862A"	"20100210"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101643900A"	"20100210"
"东软集团股份有限公司"	"02600718"	"CN101645934A"	"20100210"
"东软集团股份有限公司"	"02600718"	"CN101645934B"	"20120229"
"东软集团股份有限公司"	"02600718"	"CN101645935A"	"20100210"
"东软集团股份有限公司"	"02600718"	"CN101645935B"	"20120425"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101649460A"	"20100217"
"中国西电电气股份有限公司"	"T000025764"	"CN101651030A"	"20100217"
"中国葛洲坝集团股份有限公司"	"02600068"	"CN101653765A"	"20100224"
"中国葛洲坝集团股份有限公司"	"02600068"	"CN101653765B"	"20130130"
"金堆城钼业股份有限公司"	"03134603"	"CN101660045A"	"20100303"
"金堆城钼业股份有限公司"	"03134603"	"CN101660045B"	"20110413"
"西部金属材料股份有限公司"	"03133852"	"CN101660130A"	"20100303"
"西部金属材料股份有限公司"	"03133852"	"CN101660130B"	"20110601"
"西部金属材料股份有限公司"	"03133852"	"CN101660166A"	"20100303"
"中兴通讯股份有限公司"	"01000063"	"CN101662475A"	"20100303"
"中兴通讯股份有限公司"	"01000063"	"CN101662475B"	"20120613"
"西部金属材料股份有限公司"	"03133852"	"CN101664759A"	"20100310"
"西部金属材料股份有限公司"	"03133852"	"CN101664767A"	"20100310"
"西部金属材料股份有限公司"	"03133852"	"CN101664834A"	"20100310"
"西部金属材料股份有限公司"	"03133852"	"CN101664851A"	"20100310"
"西部金属材料股份有限公司"	"03133852"	"CN101664852A"	"20100310"
"西部金属材料股份有限公司"	"03133852"	"CN101666623A"	"20100310"
"西部金属材料股份有限公司"	"03133852"	"CN101666634A"	"20100310"
"东软集团股份有限公司"	"02600718"	"CN101667122A"	"20100310"
"东软集团股份有限公司"	"02600718"	"CN101667122B"	"20121031"
"西部金属材料股份有限公司"	"03133852"	"CN101670365A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101670365B"	"20110126"
"西部金属材料股份有限公司"	"03133852"	"CN101670434A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101670521A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101671770A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101671833A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101672738A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101672738B"	"20111005"
"西部金属材料股份有限公司"	"03133852"	"CN101672739A"	"20100317"
"西部金属材料股份有限公司"	"03133852"	"CN101672739B"	"20120718"
"东软集团股份有限公司"	"02600718"	"CN101673275A"	"20100317"
"东软集团股份有限公司"	"02600718"	"CN101673275B"	"20120725"
"金堆城钼业股份有限公司"	"03134603"	"CN101690918A"	"20100407"
"西部金属材料股份有限公司"	"03133852"	"CN101691261A"	"20100407"
"中国西电电气股份有限公司"	"T000025764"	"CN101694807A"	"20100414"
"中国西电电气股份有限公司"	"T000025764"	"CN101694807B"	"20110615"
